Time (s),GenPwr
106.8000,8.788E+02
106.9000,8.796E+02
107.0000,8.801E+02
107.1000,8.804E+02
107.2000,8.811E+02
107.3000,8.821E+02
107.4000,8.826E+02
107.5000,8.824E+02
107.6000,8.816E+02
107.7000,8.809E+02
107.8000,8.811E+02
107.9000,8.818E+02
108.0000,8.824E+02
108.1000,8.832E+02
108.2000,8.840E+02
108.3000,8.849E+02
108.4000,8.855E+02
108.5000,8.856E+02
108.6000,8.852E+02
108.7000,8.842E+02
108.8000,8.828E+02
108.9000,8.813E+02
109.0000,8.799E+02
109.1000,8.785E+02
109.2000,8.774E+02
109.3000,8.771E+02
109.4000,8.776E+02
109.5000,8.785E+02
109.6000,8.795E+02
109.7000,8.803E+02
109.8000,8.811E+02
109.9000,8.818E+02
110.0000,8.826E+02
110.1000,8.828E+02
110.2000,8.822E+02
110.3000,8.810E+02
110.4000,8.801E+02
110.5000,8.799E+02
110.6000,8.806E+02
110.7000,8.819E+02
110.8000,8.837E+02
110.9000,8.857E+02
111.0000,8.873E+02
111.1000,8.885E+02
111.2000,8.890E+02
111.3000,8.887E+02
111.4000,8.879E+02
111.5000,8.867E+02
111.6000,8.853E+02
111.7000,8.839E+02
111.8000,8.828E+02
111.9000,8.821E+02
112.0000,8.823E+02
112.1000,8.832E+02
112.2000,8.844E+02
112.3000,8.852E+02
112.4000,8.858E+02
112.5000,8.862E+02
112.6000,8.861E+02
112.7000,8.856E+02
112.8000,8.848E+02
112.9000,8.837E+02
113.0000,8.823E+02
113.1000,8.810E+02
113.2000,8.799E+02
113.3000,8.791E+02
113.4000,8.788E+02
113.5000,8.790E+02
113.6000,8.798E+02
113.7000,8.809E+02
113.8000,8.819E+02
113.9000,8.823E+02
114.0000,8.818E+02
114.1000,8.806E+02
114.2000,8.791E+02
114.3000,8.774E+02
114.4000,8.757E+02
114.5000,8.744E+02
114.6000,8.739E+02
114.7000,8.743E+02
114.8000,8.749E+02
114.9000,8.753E+02
115.0000,8.755E+02
115.1000,8.757E+02
115.2000,8.756E+02
115.3000,8.752E+02
115.4000,8.743E+02
115.5000,8.730E+02
115.6000,8.709E+02
115.7000,8.682E+02
115.8000,8.655E+02
115.9000,8.631E+02
116.0000,8.611E+02
